scBarcode	Set	Origi	Type
human1_lib3.final_cell_0568	Donor1	alpha	alpha
human1_lib3.final_cell_0569	Donor1	endothelial	endothelial
human1_lib3.final_cell_0570	Donor1	beta	beta
human1_lib3.final_cell_0571	Donor1	delta	delta
human1_lib3.final_cell_0572	Donor1	gamma	gamma
human1_lib3.final_cell_0573	Donor1	beta	beta
human1_lib3.final_cell_0574	Donor1	quiescent_stellate	quiescent_stellate
human1_lib3.final_cell_0575	Donor1	endothelial	endothelial
human1_lib3.final_cell_0576	Donor1	alpha	alpha
human1_lib3.final_cell_0577	Donor1	beta	beta
human1_lib3.final_cell_0578	Donor1	ductal	ductal
human1_lib3.final_cell_0579	Donor1	beta	beta
human1_lib3.final_cell_0580	Donor1	beta	beta
human1_lib3.final_cell_0581	Donor1	beta	beta
human1_lib3.final_cell_0582	Donor1	quiescent_stellate	quiescent_stellate
human1_lib3.final_cell_0583	Donor1	beta	beta
human1_lib3.final_cell_0584	Donor1	epsilon	epsilon
human1_lib3.final_cell_0585	Donor1	beta	beta
human1_lib3.final_cell_0586	Donor1	beta	beta
human1_lib3.final_cell_0587	Donor1	alpha	alpha
human1_lib3.final_cell_0588	Donor1	beta	beta
human1_lib3.final_cell_0589	Donor1	endothelial	endothelial
human1_lib3.final_cell_0590	Donor1	endothelial	endothelial
human1_lib3.final_cell_0591	Donor1	quiescent_stellate	quiescent_stellate
human1_lib3.final_cell_0592	Donor1	beta	beta
human1_lib3.final_cell_0593	Donor1	beta	beta
human1_lib3.final_cell_0594	Donor1	epsilon	epsilon
human1_lib3.final_cell_0595	Donor1	quiescent_stellate	quiescent_stellate
human1_lib3.final_cell_0596	Donor1	beta	beta
human1_lib3.final_cell_0597	Donor1	mast	mast
human1_lib3.final_cell_0598	Donor1	ductal	ductal
human1_lib3.final_cell_0599	Donor1	alpha	alpha
human1_lib3.final_cell_0600	Donor1	acinar	acinar
human1_lib3.final_cell_0601	Donor1	acinar	acinar
human1_lib3.final_cell_0602	Donor1	endothelial	endothelial
human1_lib3.final_cell_0603	Donor1	ductal	ductal
human1_lib3.final_cell_0604	Donor1	endothelial	endothelial
human1_lib3.final_cell_0605	Donor1	alpha	alpha
human1_lib3.final_cell_0606	Donor1	delta	delta
human1_lib3.final_cell_0607	Donor1	beta	beta
human1_lib3.final_cell_0608	Donor1	beta	beta
human1_lib3.final_cell_0609	Donor1	beta	beta
human1_lib3.final_cell_0610	Donor1	ductal	ductal
human1_lib3.final_cell_0611	Donor1	quiescent_stellate	quiescent_stellate
human1_lib3.final_cell_0612	Donor1	beta	beta
human1_lib3.final_cell_0613	Donor1	macrophage	macrophage
human1_lib3.final_cell_0614	Donor1	delta	delta
human1_lib3.final_cell_0615	Donor1	endothelial	endothelial
human1_lib3.final_cell_0616	Donor1	alpha	alpha
human1_lib3.final_cell_0617	Donor1	beta	beta
human1_lib3.final_cell_0618	Donor1	endothelial	endothelial
human1_lib3.final_cell_0619	Donor1	beta	beta
human1_lib3.final_cell_0620	Donor1	beta	beta
human1_lib3.final_cell_0621	Donor1	endothelial	endothelial
human1_lib3.final_cell_0622	Donor1	delta	delta
human1_lib3.final_cell_0623	Donor1	acinar	acinar
human1_lib3.final_cell_0624	Donor1	acinar	acinar
human1_lib3.final_cell_0625	Donor1	endothelial	endothelial
human1_lib3.final_cell_0626	Donor1	beta	beta
human1_lib3.final_cell_0627	Donor1	endothelial	endothelial
human1_lib3.final_cell_0628	Donor1	acinar	acinar
human1_lib3.final_cell_0629	Donor1	beta	beta
human1_lib3.final_cell_0630	Donor1	delta	delta
human1_lib3.final_cell_0631	Donor1	quiescent_stellate	quiescent_stellate
human1_lib3.final_cell_0632	Donor1	quiescent_stellate	quiescent_stellate
human1_lib3.final_cell_0633	Donor1	beta	beta
human1_lib3.final_cell_0634	Donor1	beta	beta
human1_lib3.final_cell_0635	Donor1	quiescent_stellate	quiescent_stellate
human1_lib3.final_cell_0636	Donor1	alpha	alpha
human1_lib3.final_cell_0637	Donor1	quiescent_stellate	quiescent_stellate
human1_lib3.final_cell_0638	Donor1	quiescent_stellate	quiescent_stellate
human1_lib3.final_cell_0639	Donor1	beta	beta
human1_lib3.final_cell_0640	Donor1	quiescent_stellate	quiescent_stellate
human1_lib3.final_cell_0641	Donor1	schwann	schwann
human1_lib3.final_cell_0642	Donor1	beta	beta
human1_lib3.final_cell_0643	Donor1	beta	beta
human1_lib3.final_cell_0644	Donor1	beta	beta
human1_lib3.final_cell_0645	Donor1	beta	beta
human1_lib3.final_cell_0646	Donor1	beta	beta
human1_lib3.final_cell_0647	Donor1	beta	beta
human1_lib3.final_cell_0648	Donor1	beta	beta
human1_lib3.final_cell_0649	Donor1	endothelial	endothelial
human1_lib3.final_cell_0650	Donor1	ductal	ductal
human1_lib3.final_cell_0651	Donor1	beta	beta
human1_lib3.final_cell_0652	Donor1	beta	beta
human1_lib3.final_cell_0653	Donor1	beta	beta
human1_lib3.final_cell_0654	Donor1	beta	beta
human1_lib3.final_cell_0655	Donor1	alpha	alpha
human1_lib3.final_cell_0656	Donor1	quiescent_stellate	quiescent_stellate
human1_lib3.final_cell_0657	Donor1	quiescent_stellate	quiescent_stellate
human1_lib3.final_cell_0658	Donor1	beta	beta
human1_lib3.final_cell_0659	Donor1	beta	beta
human1_lib3.final_cell_0660	Donor1	alpha	alpha
human1_lib3.final_cell_0661	Donor1	ductal	ductal
human1_lib3.final_cell_0662	Donor1	quiescent_stellate	quiescent_stellate
human1_lib3.final_cell_0663	Donor1	beta	beta
human1_lib3.final_cell_0664	Donor1	endothelial	endothelial
human1_lib3.final_cell_0665	Donor1	delta	delta
human1_lib3.final_cell_0666	Donor1	beta	beta
human1_lib3.final_cell_0667	Donor1	beta	beta
human1_lib3.final_cell_0668	Donor1	alpha	alpha
human1_lib3.final_cell_0669	Donor1	beta	beta
human1_lib3.final_cell_0670	Donor1	beta	beta
human1_lib3.final_cell_0671	Donor1	endothelial	endothelial
human1_lib3.final_cell_0672	Donor1	beta	beta
human1_lib3.final_cell_0673	Donor1	endothelial	endothelial
human1_lib3.final_cell_0674	Donor1	alpha	alpha
human1_lib3.final_cell_0675	Donor1	quiescent_stellate	quiescent_stellate
human1_lib3.final_cell_0676	Donor1	endothelial	endothelial
human1_lib3.final_cell_0677	Donor1	alpha	alpha
human1_lib3.final_cell_0678	Donor1	alpha	alpha
human1_lib3.final_cell_0679	Donor1	ductal	ductal
human1_lib3.final_cell_0680	Donor1	quiescent_stellate	quiescent_stellate
human1_lib3.final_cell_0681	Donor1	endothelial	endothelial
human1_lib3.final_cell_0682	Donor1	beta	beta
human1_lib3.final_cell_0683	Donor1	gamma	gamma
human1_lib3.final_cell_0684	Donor1	epsilon	epsilon
human1_lib3.final_cell_0685	Donor1	activated_stellate	activated_stellate
human1_lib3.final_cell_0686	Donor1	alpha	alpha
human1_lib3.final_cell_0687	Donor1	activated_stellate	activated_stellate
human1_lib3.final_cell_0688	Donor1	beta	beta
human1_lib3.final_cell_0689	Donor1	beta	beta
human1_lib3.final_cell_0690	Donor1	mast	mast
human1_lib3.final_cell_0691	Donor1	activated_stellate	activated_stellate
human1_lib3.final_cell_0692	Donor1	epsilon	epsilon
human1_lib3.final_cell_0693	Donor1	quiescent_stellate	quiescent_stellate
human1_lib3.final_cell_0694	Donor1	endothelial	endothelial
human1_lib3.final_cell_0695	Donor1	gamma	gamma
human1_lib3.final_cell_0696	Donor1	beta	beta
human1_lib3.final_cell_0697	Donor1	quiescent_stellate	quiescent_stellate
human1_lib3.final_cell_0698	Donor1	quiescent_stellate	quiescent_stellate
human1_lib3.final_cell_0699	Donor1	alpha	alpha
human1_lib3.final_cell_0700	Donor1	beta	beta
human1_lib3.final_cell_0701	Donor1	beta	beta
human1_lib3.final_cell_0702	Donor1	beta	beta
human1_lib3.final_cell_0703	Donor1	beta	beta
human1_lib3.final_cell_0704	Donor1	t_cell	t_cell
human1_lib3.final_cell_0705	Donor1	beta	beta
human1_lib3.final_cell_0706	Donor1	beta	beta
human1_lib3.final_cell_0707	Donor1	beta	beta
human1_lib3.final_cell_0708	Donor1	alpha	alpha
human1_lib3.final_cell_0709	Donor1	beta	beta
human1_lib3.final_cell_0710	Donor1	endothelial	endothelial
human1_lib3.final_cell_0711	Donor1	endothelial	endothelial
human1_lib3.final_cell_0712	Donor1	mast	mast
human1_lib3.final_cell_0713	Donor1	beta	beta
human1_lib3.final_cell_0714	Donor1	quiescent_stellate	quiescent_stellate
human1_lib3.final_cell_0715	Donor1	beta	beta
human1_lib3.final_cell_0716	Donor1	beta	beta
human1_lib3.final_cell_0717	Donor1	beta	beta
human1_lib3.final_cell_0718	Donor1	beta	beta
human1_lib3.final_cell_0719	Donor1	beta	beta
human1_lib3.final_cell_0720	Donor1	endothelial	endothelial
human1_lib3.final_cell_0721	Donor1	t_cell	t_cell
human1_lib3.final_cell_0722	Donor1	ductal	ductal
human1_lib3.final_cell_0723	Donor1	quiescent_stellate	quiescent_stellate
human1_lib3.final_cell_0724	Donor1	beta	beta
human1_lib3.final_cell_0725	Donor1	beta	beta
human1_lib3.final_cell_0726	Donor1	quiescent_stellate	quiescent_stellate
human1_lib3.final_cell_0727	Donor1	quiescent_stellate	quiescent_stellate
human1_lib3.final_cell_0728	Donor1	quiescent_stellate	quiescent_stellate
human1_lib3.final_cell_0729	Donor1	beta	beta
human1_lib3.final_cell_0730	Donor1	beta	beta
human1_lib3.final_cell_0731	Donor1	alpha	alpha
human1_lib3.final_cell_0732	Donor1	beta	beta
human1_lib3.final_cell_0733	Donor1	beta	beta
human1_lib3.final_cell_0734	Donor1	beta	beta
human1_lib3.final_cell_0735	Donor1	alpha	alpha
human1_lib3.final_cell_0736	Donor1	endothelial	endothelial
human1_lib3.final_cell_0737	Donor1	beta	beta
human1_lib3.final_cell_0738	Donor1	endothelial	endothelial
human1_lib3.final_cell_0739	Donor1	beta	beta
human1_lib3.final_cell_0740	Donor1	quiescent_stellate	quiescent_stellate
human2_lib1.final_cell_0001	Donor2	delta	delta
human2_lib1.final_cell_0002	Donor2	delta	delta
human2_lib1.final_cell_0003	Donor2	alpha	alpha
human2_lib1.final_cell_0004	Donor2	delta	delta
human2_lib1.final_cell_0005	Donor2	delta	delta
human2_lib1.final_cell_0006	Donor2	delta	delta
human2_lib1.final_cell_0007	Donor2	delta	delta
human2_lib1.final_cell_0008	Donor2	delta	delta
human2_lib1.final_cell_0009	Donor2	activated_stellate	activated_stellate
human2_lib1.final_cell_0011	Donor2	delta	delta
human2_lib1.final_cell_0012	Donor2	delta	delta
human2_lib1.final_cell_0013	Donor2	alpha	alpha
human2_lib1.final_cell_0014	Donor2	delta	delta
human2_lib1.final_cell_0015	Donor2	alpha	alpha
human2_lib1.final_cell_0016	Donor2	alpha	alpha
human2_lib1.final_cell_0017	Donor2	beta	beta
human2_lib1.final_cell_0018	Donor2	ductal	ductal
human2_lib1.final_cell_0019	Donor2	alpha	alpha
human2_lib1.final_cell_0020	Donor2	alpha	alpha
human2_lib1.final_cell_0022	Donor2	alpha	alpha
human2_lib1.final_cell_0023	Donor2	alpha	alpha
human2_lib1.final_cell_0024	Donor2	delta	delta
human2_lib1.final_cell_0026	Donor2	alpha	alpha
human2_lib1.final_cell_0027	Donor2	delta	delta
human2_lib1.final_cell_0028	Donor2	ductal	ductal
human2_lib1.final_cell_0031	Donor2	activated_stellate	activated_stellate
human2_lib1.final_cell_0032	Donor2	ductal	ductal
human2_lib1.final_cell_0033	Donor2	alpha	alpha
human2_lib1.final_cell_0034	Donor2	delta	delta
human2_lib1.final_cell_0035	Donor2	delta	delta
human2_lib1.final_cell_0036	Donor2	delta	delta
human2_lib1.final_cell_0037	Donor2	alpha	alpha
human2_lib1.final_cell_0039	Donor2	alpha	alpha
human2_lib1.final_cell_0040	Donor2	macrophage	macrophage
human2_lib1.final_cell_0041	Donor2	alpha	alpha
human2_lib1.final_cell_0042	Donor2	delta	delta
human2_lib1.final_cell_0044	Donor2	delta	delta
human2_lib1.final_cell_0045	Donor2	alpha	alpha
human2_lib1.final_cell_0046	Donor2	alpha	alpha
human2_lib1.final_cell_0047	Donor2	alpha	alpha
human2_lib1.final_cell_0048	Donor2	alpha	alpha
human2_lib1.final_cell_0049	Donor2	ductal	ductal
human2_lib1.final_cell_0050	Donor2	activated_stellate	activated_stellate
human2_lib1.final_cell_0052	Donor2	alpha	alpha
human2_lib1.final_cell_0053	Donor2	quiescent_stellate	quiescent_stellate
human2_lib1.final_cell_0054	Donor2	beta	beta
human2_lib1.final_cell_0055	Donor2	alpha	alpha
human2_lib1.final_cell_0056	Donor2	beta	beta
human2_lib1.final_cell_0057	Donor2	beta	beta
human2_lib1.final_cell_0058	Donor2	beta	beta
human2_lib1.final_cell_0059	Donor2	alpha	alpha
human2_lib1.final_cell_0060	Donor2	delta	delta
human2_lib1.final_cell_0061	Donor2	delta	delta
human2_lib1.final_cell_0062	Donor2	alpha	alpha
human2_lib1.final_cell_0063	Donor2	beta	beta
human2_lib1.final_cell_0064	Donor2	alpha	alpha
human2_lib1.final_cell_0065	Donor2	alpha	alpha
human2_lib1.final_cell_0066	Donor2	alpha	alpha
human2_lib1.final_cell_0067	Donor2	ductal	ductal
human2_lib1.final_cell_0068	Donor2	beta	beta
human2_lib1.final_cell_0069	Donor2	ductal	ductal
human2_lib1.final_cell_0070	Donor2	activated_stellate	activated_stellate
human2_lib1.final_cell_0072	Donor2	alpha	alpha
human2_lib1.final_cell_0073	Donor2	beta	beta
human2_lib1.final_cell_0075	Donor2	alpha	alpha
human2_lib1.final_cell_0076	Donor2	beta	beta
human2_lib1.final_cell_0077	Donor2	alpha	alpha
human2_lib1.final_cell_0079	Donor2	alpha	alpha
human2_lib1.final_cell_0080	Donor2	beta	beta
human2_lib1.final_cell_0081	Donor2	alpha	alpha
human2_lib1.final_cell_0082	Donor2	ductal	ductal
human2_lib1.final_cell_0084	Donor2	alpha	alpha
human2_lib1.final_cell_0085	Donor2	alpha	alpha
human2_lib1.final_cell_0087	Donor2	alpha	alpha
human2_lib1.final_cell_0088	Donor2	alpha	alpha
human2_lib1.final_cell_0089	Donor2	alpha	alpha
human2_lib1.final_cell_0090	Donor2	beta	beta
human2_lib1.final_cell_0091	Donor2	alpha	alpha
human2_lib1.final_cell_0092	Donor2	beta	beta
human2_lib1.final_cell_0093	Donor2	alpha	alpha
human2_lib1.final_cell_0095	Donor2	delta	delta
human2_lib1.final_cell_0096	Donor2	gamma	gamma
human2_lib1.final_cell_0097	Donor2	alpha	alpha
human2_lib1.final_cell_0098	Donor2	ductal	ductal
human2_lib1.final_cell_0099	Donor2	alpha	alpha
human2_lib1.final_cell_0100	Donor2	beta	beta
human2_lib1.final_cell_0101	Donor2	beta	beta
human2_lib1.final_cell_0102	Donor2	gamma	gamma
human2_lib1.final_cell_0103	Donor2	alpha	alpha
human2_lib1.final_cell_0104	Donor2	delta	delta
human2_lib1.final_cell_0105	Donor2	beta	beta
human2_lib1.final_cell_0106	Donor2	alpha	alpha
human2_lib1.final_cell_0107	Donor2	beta	beta
human2_lib1.final_cell_0108	Donor2	alpha	alpha
human2_lib1.final_cell_0109	Donor2	alpha	alpha
human2_lib1.final_cell_0110	Donor2	alpha	alpha
human2_lib1.final_cell_0111	Donor2	beta	beta
human2_lib1.final_cell_0112	Donor2	ductal	ductal
human2_lib1.final_cell_0113	Donor2	ductal	ductal
human2_lib1.final_cell_0114	Donor2	alpha	alpha
human2_lib1.final_cell_0115	Donor2	beta	beta
human2_lib1.final_cell_0116	Donor2	alpha	alpha
human2_lib1.final_cell_0118	Donor2	alpha	alpha
human2_lib1.final_cell_0119	Donor2	beta	beta
human2_lib1.final_cell_0120	Donor2	alpha	alpha
human2_lib1.final_cell_0121	Donor2	ductal	ductal
human2_lib1.final_cell_0122	Donor2	alpha	alpha
human2_lib1.final_cell_0123	Donor2	delta	delta
human2_lib1.final_cell_0124	Donor2	beta	beta
human2_lib1.final_cell_0126	Donor2	beta	beta
human2_lib1.final_cell_0127	Donor2	alpha	alpha
human2_lib1.final_cell_0128	Donor2	beta	beta
human2_lib1.final_cell_0129	Donor2	ductal	ductal
human2_lib1.final_cell_0130	Donor2	alpha	alpha
human2_lib1.final_cell_0131	Donor2	alpha	alpha
human2_lib1.final_cell_0132	Donor2	alpha	alpha
human2_lib1.final_cell_0133	Donor2	alpha	alpha
human2_lib1.final_cell_0134	Donor2	ductal	ductal
human2_lib1.final_cell_0135	Donor2	alpha	alpha
human2_lib1.final_cell_0136	Donor2	ductal	ductal
human2_lib1.final_cell_0137	Donor2	beta	beta
human2_lib1.final_cell_0139	Donor2	beta	beta
human2_lib1.final_cell_0140	Donor2	alpha	alpha
human2_lib1.final_cell_0141	Donor2	beta	beta
human2_lib1.final_cell_0142	Donor2	alpha	alpha
human2_lib1.final_cell_0143	Donor2	activated_stellate	activated_stellate
human2_lib1.final_cell_0144	Donor2	alpha	alpha
human2_lib1.final_cell_0145	Donor2	beta	beta
human2_lib1.final_cell_0146	Donor2	alpha	alpha
human2_lib1.final_cell_0147	Donor2	alpha	alpha
human2_lib1.final_cell_0148	Donor2	alpha	alpha
human2_lib1.final_cell_0149	Donor2	alpha	alpha
human2_lib1.final_cell_0150	Donor2	beta	beta
human2_lib1.final_cell_0151	Donor2	ductal	ductal
human2_lib1.final_cell_0152	Donor2	activated_stellate	activated_stellate
human2_lib1.final_cell_0153	Donor2	alpha	alpha
human2_lib1.final_cell_0154	Donor2	alpha	alpha
human2_lib1.final_cell_0155	Donor2	ductal	ductal
human2_lib1.final_cell_0156	Donor2	delta	delta
human2_lib1.final_cell_0157	Donor2	alpha	alpha
human2_lib1.final_cell_0158	Donor2	alpha	alpha
human2_lib1.final_cell_0159	Donor2	ductal	ductal
human2_lib1.final_cell_0160	Donor2	ductal	ductal
human2_lib1.final_cell_0161	Donor2	alpha	alpha
human2_lib1.final_cell_0162	Donor2	alpha	alpha
human2_lib1.final_cell_0163	Donor2	alpha	alpha
human2_lib1.final_cell_0164	Donor2	alpha	alpha
human2_lib1.final_cell_0165	Donor2	activated_stellate	activated_stellate
human2_lib1.final_cell_0166	Donor2	alpha	alpha
human2_lib1.final_cell_0167	Donor2	macrophage	macrophage
human2_lib1.final_cell_0168	Donor2	alpha	alpha
human2_lib1.final_cell_0169	Donor2	delta	delta
human2_lib1.final_cell_0170	Donor2	alpha	alpha
human2_lib1.final_cell_0171	Donor2	activated_stellate	activated_stellate
human2_lib1.final_cell_0172	Donor2	alpha	alpha
human2_lib1.final_cell_0173	Donor2	delta	delta
human2_lib1.final_cell_0174	Donor2	alpha	alpha
human2_lib1.final_cell_0175	Donor2	alpha	alpha
human2_lib1.final_cell_0176	Donor2	alpha	alpha
human2_lib1.final_cell_0177	Donor2	ductal	ductal
human2_lib1.final_cell_0178	Donor2	alpha	alpha
human2_lib1.final_cell_0179	Donor2	alpha	alpha
human2_lib1.final_cell_0180	Donor2	alpha	alpha
human2_lib1.final_cell_0182	Donor2	beta	beta
human2_lib1.final_cell_0183	Donor2	beta	beta
human2_lib1.final_cell_0184	Donor2	alpha	alpha
human2_lib1.final_cell_0185	Donor2	gamma	gamma
human2_lib1.final_cell_0187	Donor2	beta	beta
human2_lib1.final_cell_0188	Donor2	endothelial	endothelial
human2_lib1.final_cell_0189	Donor2	gamma	gamma
human2_lib1.final_cell_0190	Donor2	ductal	ductal
human2_lib1.final_cell_0191	Donor2	alpha	alpha
human2_lib1.final_cell_0192	Donor2	ductal	ductal
human2_lib1.final_cell_0193	Donor2	delta	delta
human2_lib1.final_cell_0195	Donor2	beta	beta
human2_lib1.final_cell_0196	Donor2	beta	beta
human2_lib1.final_cell_0197	Donor2	endothelial	endothelial
human2_lib1.final_cell_0198	Donor2	beta	beta
human2_lib1.final_cell_0199	Donor2	alpha	alpha
human2_lib1.final_cell_0200	Donor2	delta	delta
human2_lib1.final_cell_0201	Donor2	beta	beta
human2_lib1.final_cell_0202	Donor2	activated_stellate	activated_stellate
human2_lib1.final_cell_0203	Donor2	alpha	alpha
human2_lib1.final_cell_0204	Donor2	beta	beta
human2_lib1.final_cell_0205	Donor2	ductal	ductal
human2_lib1.final_cell_0206	Donor2	beta	beta
human2_lib1.final_cell_0207	Donor2	gamma	gamma
human2_lib1.final_cell_0208	Donor2	alpha	alpha
human2_lib1.final_cell_0209	Donor2	alpha	alpha
human2_lib1.final_cell_0210	Donor2	alpha	alpha
human2_lib1.final_cell_0211	Donor2	delta	delta
human2_lib1.final_cell_0212	Donor2	alpha	alpha
human2_lib1.final_cell_0214	Donor2	alpha	alpha
human2_lib1.final_cell_0215	Donor2	beta	beta
human2_lib1.final_cell_0216	Donor2	endothelial	endothelial
human2_lib1.final_cell_0217	Donor2	activated_stellate	activated_stellate
human2_lib1.final_cell_0218	Donor2	alpha	alpha
human2_lib1.final_cell_0219	Donor2	beta	beta
human2_lib1.final_cell_0220	Donor2	alpha	alpha
human2_lib1.final_cell_0221	Donor2	alpha	alpha
human2_lib1.final_cell_0222	Donor2	alpha	alpha
human2_lib1.final_cell_0223	Donor2	beta	beta
human2_lib1.final_cell_0224	Donor2	beta	beta
human2_lib1.final_cell_0225	Donor2	alpha	alpha
human2_lib1.final_cell_0226	Donor2	gamma	gamma
human2_lib1.final_cell_0227	Donor2	beta	beta
human2_lib1.final_cell_0228	Donor2	alpha	alpha
human2_lib1.final_cell_0229	Donor2	alpha	alpha
human2_lib1.final_cell_0230	Donor2	alpha	alpha
human2_lib1.final_cell_0231	Donor2	beta	beta
human2_lib1.final_cell_0232	Donor2	ductal	ductal
human2_lib1.final_cell_0233	Donor2	beta	beta
human2_lib1.final_cell_0234	Donor2	activated_stellate	activated_stellate
human2_lib1.final_cell_0235	Donor2	alpha	alpha
human2_lib1.final_cell_0236	Donor2	beta	beta
human2_lib1.final_cell_0237	Donor2	beta	beta
human2_lib1.final_cell_0238	Donor2	gamma	gamma
human2_lib1.final_cell_0239	Donor2	alpha	alpha
human2_lib1.final_cell_0240	Donor2	alpha	alpha
human2_lib1.final_cell_0241	Donor2	alpha	alpha
human2_lib1.final_cell_0242	Donor2	beta	beta
human2_lib1.final_cell_0243	Donor2	alpha	alpha
human2_lib1.final_cell_0244	Donor2	endothelial	endothelial
human2_lib1.final_cell_0245	Donor2	alpha	alpha
human2_lib1.final_cell_0246	Donor2	delta	delta
human2_lib1.final_cell_0247	Donor2	activated_stellate	activated_stellate
human2_lib1.final_cell_0248	Donor2	gamma	gamma
human2_lib1.final_cell_0249	Donor2	beta	beta
human2_lib1.final_cell_0250	Donor2	alpha	alpha
human2_lib1.final_cell_0251	Donor2	ductal	ductal
human2_lib1.final_cell_0252	Donor2	beta	beta
human2_lib1.final_cell_0253	Donor2	gamma	gamma
human2_lib1.final_cell_0254	Donor2	beta	beta
human2_lib1.final_cell_0255	Donor2	beta	beta
human2_lib1.final_cell_0256	Donor2	ductal	ductal
human2_lib1.final_cell_0257	Donor2	ductal	ductal
human2_lib1.final_cell_0258	Donor2	alpha	alpha
human2_lib1.final_cell_0259	Donor2	beta	beta
human2_lib1.final_cell_0260	Donor2	beta	beta
human2_lib1.final_cell_0261	Donor2	ductal	ductal
human2_lib1.final_cell_0262	Donor2	beta	beta
human2_lib1.final_cell_0263	Donor2	ductal	ductal
human2_lib1.final_cell_0264	Donor2	alpha	alpha
human2_lib1.final_cell_0265	Donor2	alpha	alpha
human2_lib1.final_cell_0266	Donor2	activated_stellate	activated_stellate
human2_lib1.final_cell_0267	Donor2	delta	delta
human2_lib1.final_cell_0268	Donor2	alpha	alpha
human2_lib1.final_cell_0269	Donor2	activated_stellate	activated_stellate
human2_lib1.final_cell_0270	Donor2	beta	beta
human2_lib1.final_cell_0271	Donor2	alpha	alpha
human2_lib1.final_cell_0272	Donor2	delta	delta
human2_lib1.final_cell_0273	Donor2	beta	beta
human2_lib1.final_cell_0274	Donor2	beta	beta
human2_lib1.final_cell_0275	Donor2	delta	delta
human2_lib1.final_cell_0276	Donor2	ductal	ductal
human2_lib1.final_cell_0277	Donor2	alpha	alpha
human2_lib1.final_cell_0278	Donor2	delta	delta
human2_lib1.final_cell_0279	Donor2	alpha	alpha
human2_lib1.final_cell_0280	Donor2	beta	beta
human2_lib1.final_cell_0281	Donor2	ductal	ductal
human2_lib1.final_cell_0282	Donor2	beta	beta
human2_lib1.final_cell_0283	Donor2	endothelial	endothelial
human2_lib1.final_cell_0284	Donor2	ductal	ductal
human2_lib1.final_cell_0285	Donor2	beta	beta
human2_lib1.final_cell_0286	Donor2	alpha	alpha
human2_lib1.final_cell_0287	Donor2	activated_stellate	activated_stellate
human2_lib1.final_cell_0288	Donor2	beta	beta
human2_lib1.final_cell_0289	Donor2	alpha	alpha
human2_lib1.final_cell_0290	Donor2	beta	beta
human2_lib1.final_cell_0291	Donor2	beta	beta
human2_lib1.final_cell_0292	Donor2	alpha	alpha
human2_lib1.final_cell_0293	Donor2	beta	beta
human2_lib1.final_cell_0294	Donor2	alpha	alpha
human2_lib1.final_cell_0295	Donor2	gamma	gamma
human2_lib1.final_cell_0296	Donor2	beta	beta
human2_lib1.final_cell_0297	Donor2	ductal	ductal
human2_lib1.final_cell_0298	Donor2	beta	beta
human2_lib1.final_cell_0299	Donor2	alpha	alpha
human2_lib1.final_cell_0300	Donor2	alpha	alpha
human2_lib1.final_cell_0301	Donor2	alpha	alpha
human2_lib1.final_cell_0302	Donor2	alpha	alpha
human2_lib1.final_cell_0303	Donor2	ductal	ductal
human2_lib1.final_cell_0304	Donor2	beta	beta
human2_lib1.final_cell_0305	Donor2	alpha	alpha
human2_lib1.final_cell_0306	Donor2	alpha	alpha
human2_lib1.final_cell_0307	Donor2	ductal	ductal
human2_lib1.final_cell_0308	Donor2	alpha	alpha
human2_lib1.final_cell_0309	Donor2	ductal	ductal
human2_lib1.final_cell_0310	Donor2	alpha	alpha
human2_lib1.final_cell_0311	Donor2	alpha	alpha
human2_lib1.final_cell_0312	Donor2	gamma	gamma
human2_lib1.final_cell_0314	Donor2	ductal	ductal
human2_lib1.final_cell_0315	Donor2	alpha	alpha
human2_lib1.final_cell_0316	Donor2	alpha	alpha
human2_lib1.final_cell_0318	Donor2	beta	beta
human2_lib1.final_cell_0319	Donor2	ductal	ductal
human2_lib1.final_cell_0320	Donor2	alpha	alpha
human2_lib1.final_cell_0321	Donor2	ductal	ductal
human2_lib1.final_cell_0322	Donor2	alpha	alpha
human2_lib1.final_cell_0323	Donor2	ductal	ductal
human2_lib1.final_cell_0324	Donor2	beta	beta
human2_lib1.final_cell_0325	Donor2	beta	beta
human2_lib1.final_cell_0326	Donor2	beta	beta
human2_lib1.final_cell_0327	Donor2	ductal	ductal
human2_lib1.final_cell_0328	Donor2	ductal	ductal
human2_lib1.final_cell_0329	Donor2	alpha	alpha
human2_lib1.final_cell_0330	Donor2	delta	delta
human2_lib1.final_cell_0331	Donor2	alpha	alpha
human2_lib1.final_cell_0332	Donor2	beta	beta
human2_lib1.final_cell_0333	Donor2	beta	beta
human2_lib1.final_cell_0334	Donor2	endothelial	endothelial
human2_lib1.final_cell_0335	Donor2	alpha	alpha
human2_lib1.final_cell_0336	Donor2	alpha	alpha
human2_lib1.final_cell_0337	Donor2	alpha	alpha
human2_lib1.final_cell_0338	Donor2	alpha	alpha
human2_lib1.final_cell_0339	Donor2	alpha	alpha
human2_lib1.final_cell_0340	Donor2	alpha	alpha
human2_lib1.final_cell_0341	Donor2	ductal	ductal
human2_lib1.final_cell_0342	Donor2	alpha	alpha
human2_lib1.final_cell_0343	Donor2	alpha	alpha
human2_lib1.final_cell_0344	Donor2	ductal	ductal
human2_lib1.final_cell_0345	Donor2	alpha	alpha
human2_lib1.final_cell_0346	Donor2	ductal	ductal
