Barcode	Origi	Set
human1_lib3.final_cell_0014	delta	Donor1
human1_lib3.final_cell_0015	delta	Donor1
human1_lib3.final_cell_0016	delta	Donor1
human1_lib3.final_cell_0017	delta	Donor1
human1_lib3.final_cell_0018	beta	Donor1
human1_lib3.final_cell_0019	delta	Donor1
human1_lib3.final_cell_0022	activated_stellate	Donor1
human1_lib3.final_cell_0023	delta	Donor1
human1_lib3.final_cell_0024	beta	Donor1
human1_lib3.final_cell_0025	acinar	Donor1
human1_lib3.final_cell_0026	delta	Donor1
human1_lib3.final_cell_0027	beta	Donor1
human1_lib3.final_cell_0028	delta	Donor1
human1_lib3.final_cell_0029	ductal	Donor1
human1_lib3.final_cell_0030	acinar	Donor1
human1_lib3.final_cell_0031	acinar	Donor1
human1_lib3.final_cell_0032	delta	Donor1
human1_lib3.final_cell_0033	beta	Donor1
human1_lib3.final_cell_0034	beta	Donor1
human1_lib3.final_cell_0035	beta	Donor1
human1_lib3.final_cell_0036	delta	Donor1
human1_lib3.final_cell_0037	beta	Donor1
human1_lib3.final_cell_0038	beta	Donor1
human1_lib3.final_cell_0039	beta	Donor1
human1_lib3.final_cell_0040	delta	Donor1
human1_lib3.final_cell_0041	delta	Donor1
human1_lib3.final_cell_0042	delta	Donor1
human1_lib3.final_cell_0043	acinar	Donor1
human1_lib3.final_cell_0044	ductal	Donor1
human1_lib3.final_cell_0045	delta	Donor1
human1_lib3.final_cell_0046	activated_stellate	Donor1
human1_lib3.final_cell_0047	beta	Donor1
human1_lib3.final_cell_0048	activated_stellate	Donor1
human1_lib3.final_cell_0049	alpha	Donor1
human1_lib3.final_cell_0050	delta	Donor1
human1_lib3.final_cell_0051	beta	Donor1
human1_lib3.final_cell_0052	beta	Donor1
human1_lib3.final_cell_0053	beta	Donor1
human1_lib3.final_cell_0054	acinar	Donor1
human1_lib3.final_cell_0055	delta	Donor1
human1_lib3.final_cell_0056	ductal	Donor1
human1_lib3.final_cell_0057	macrophage	Donor1
human1_lib3.final_cell_0058	delta	Donor1
human1_lib3.final_cell_0059	beta	Donor1
human1_lib3.final_cell_0060	beta	Donor1
human1_lib3.final_cell_0061	delta	Donor1
human1_lib3.final_cell_0062	delta	Donor1
human1_lib3.final_cell_0063	beta	Donor1
human1_lib3.final_cell_0064	delta	Donor1
human1_lib3.final_cell_0065	beta	Donor1
human1_lib3.final_cell_0066	delta	Donor1
human1_lib3.final_cell_0067	acinar	Donor1
human1_lib3.final_cell_0068	delta	Donor1
human1_lib3.final_cell_0069	beta	Donor1
human1_lib3.final_cell_0070	acinar	Donor1
human1_lib3.final_cell_0071	beta	Donor1
human1_lib3.final_cell_0072	beta	Donor1
human1_lib3.final_cell_0073	ductal	Donor1
human1_lib3.final_cell_0074	delta	Donor1
human1_lib3.final_cell_0075	delta	Donor1
human1_lib3.final_cell_0076	beta	Donor1
human1_lib3.final_cell_0077	delta	Donor1
human1_lib3.final_cell_0078	delta	Donor1
human1_lib3.final_cell_0079	beta	Donor1
human1_lib3.final_cell_0080	alpha	Donor1
human1_lib3.final_cell_0081	beta	Donor1
human1_lib3.final_cell_0082	acinar	Donor1
human1_lib3.final_cell_0083	alpha	Donor1
human1_lib3.final_cell_0084	alpha	Donor1
human1_lib3.final_cell_0085	beta	Donor1
human1_lib3.final_cell_0086	beta	Donor1
human1_lib3.final_cell_0087	beta	Donor1
human1_lib3.final_cell_0088	beta	Donor1
human1_lib3.final_cell_0089	beta	Donor1
human1_lib3.final_cell_0090	beta	Donor1
human1_lib3.final_cell_0091	beta	Donor1
human1_lib3.final_cell_0092	beta	Donor1
human1_lib3.final_cell_0093	delta	Donor1
human1_lib3.final_cell_0094	beta	Donor1
human1_lib3.final_cell_0095	beta	Donor1
human1_lib3.final_cell_0096	delta	Donor1
human1_lib3.final_cell_0097	beta	Donor1
human1_lib3.final_cell_0098	beta	Donor1
human1_lib3.final_cell_0099	beta	Donor1
human1_lib3.final_cell_0100	alpha	Donor1
human1_lib3.final_cell_0101	delta	Donor1
human1_lib3.final_cell_0102	alpha	Donor1
human1_lib3.final_cell_0103	beta	Donor1
human1_lib3.final_cell_0104	delta	Donor1
human1_lib3.final_cell_0105	beta	Donor1
human1_lib3.final_cell_0106	activated_stellate	Donor1
human1_lib3.final_cell_0107	beta	Donor1
human1_lib3.final_cell_0108	beta	Donor1
human1_lib3.final_cell_0109	delta	Donor1
human1_lib3.final_cell_0110	delta	Donor1
human1_lib3.final_cell_0111	ductal	Donor1
human1_lib3.final_cell_0112	acinar	Donor1
human1_lib3.final_cell_0113	acinar	Donor1
human1_lib3.final_cell_0114	delta	Donor1
human1_lib3.final_cell_0115	ductal	Donor1
human1_lib3.final_cell_0116	delta	Donor1
human1_lib3.final_cell_0117	beta	Donor1
human1_lib3.final_cell_0118	ductal	Donor1
human1_lib3.final_cell_0119	beta	Donor1
human1_lib3.final_cell_0120	beta	Donor1
human1_lib3.final_cell_0121	beta	Donor1
human1_lib3.final_cell_0122	beta	Donor1
human1_lib3.final_cell_0123	alpha	Donor1
human1_lib3.final_cell_0124	beta	Donor1
human1_lib3.final_cell_0125	beta	Donor1
human1_lib3.final_cell_0126	beta	Donor1
human1_lib3.final_cell_0127	beta	Donor1
human1_lib3.final_cell_0128	beta	Donor1
human1_lib3.final_cell_0129	alpha	Donor1
human1_lib3.final_cell_0130	acinar	Donor1
human1_lib3.final_cell_0131	beta	Donor1
human1_lib3.final_cell_0132	beta	Donor1
human1_lib3.final_cell_0133	beta	Donor1
human1_lib3.final_cell_0134	beta	Donor1
human1_lib3.final_cell_0135	delta	Donor1
human1_lib3.final_cell_0136	beta	Donor1
human1_lib3.final_cell_0137	beta	Donor1
human1_lib3.final_cell_0138	beta	Donor1
human1_lib3.final_cell_0139	activated_stellate	Donor1
human1_lib3.final_cell_0140	beta	Donor1
human1_lib3.final_cell_0141	delta	Donor1
human1_lib3.final_cell_0142	beta	Donor1
human1_lib3.final_cell_0143	acinar	Donor1
human1_lib3.final_cell_0144	beta	Donor1
human1_lib3.final_cell_0145	beta	Donor1
human1_lib3.final_cell_0146	activated_stellate	Donor1
human1_lib3.final_cell_0147	alpha	Donor1
human1_lib3.final_cell_0148	beta	Donor1
human1_lib3.final_cell_0149	beta	Donor1
human1_lib3.final_cell_0150	quiescent_stellate	Donor1
human1_lib3.final_cell_0151	activated_stellate	Donor1
human1_lib3.final_cell_0152	acinar	Donor1
human1_lib3.final_cell_0153	beta	Donor1
human1_lib3.final_cell_0154	alpha	Donor1
human1_lib3.final_cell_0155	delta	Donor1
human1_lib3.final_cell_0156	acinar	Donor1
human1_lib3.final_cell_0157	beta	Donor1
human1_lib3.final_cell_0158	beta	Donor1
human1_lib3.final_cell_0159	beta	Donor1
human1_lib3.final_cell_0160	beta	Donor1
human1_lib3.final_cell_0161	ductal	Donor1
human1_lib3.final_cell_0162	beta	Donor1
human1_lib3.final_cell_0163	acinar	Donor1
human1_lib3.final_cell_0164	beta	Donor1
human1_lib3.final_cell_0165	beta	Donor1
human1_lib3.final_cell_0166	beta	Donor1
human1_lib3.final_cell_0167	beta	Donor1
human1_lib3.final_cell_0168	beta	Donor1
human1_lib3.final_cell_0169	beta	Donor1
human1_lib3.final_cell_0170	alpha	Donor1
human1_lib3.final_cell_0171	acinar	Donor1
human1_lib3.final_cell_0172	beta	Donor1
human1_lib3.final_cell_0173	beta	Donor1
human1_lib3.final_cell_0174	alpha	Donor1
human1_lib3.final_cell_0175	beta	Donor1
human1_lib3.final_cell_0176	beta	Donor1
human1_lib3.final_cell_0177	gamma	Donor1
human1_lib3.final_cell_0178	delta	Donor1
human1_lib3.final_cell_0179	macrophage	Donor1
human1_lib3.final_cell_0180	alpha	Donor1
human1_lib3.final_cell_0181	delta	Donor1
human1_lib3.final_cell_0182	beta	Donor1
human1_lib3.final_cell_0183	ductal	Donor1
human1_lib3.final_cell_0184	ductal	Donor1
human1_lib3.final_cell_0185	alpha	Donor1
human1_lib3.final_cell_0186	beta	Donor1
human1_lib3.final_cell_0187	beta	Donor1
human1_lib3.final_cell_0188	acinar	Donor1
human1_lib3.final_cell_0189	endothelial	Donor1
human1_lib3.final_cell_0190	alpha	Donor1
human1_lib3.final_cell_0191	gamma	Donor1
human1_lib3.final_cell_0192	beta	Donor1
human1_lib3.final_cell_0193	quiescent_stellate	Donor1
human1_lib3.final_cell_0194	beta	Donor1
human1_lib3.final_cell_0195	delta	Donor1
human1_lib3.final_cell_0196	beta	Donor1
human1_lib3.final_cell_0197	ductal	Donor1
human1_lib3.final_cell_0198	beta	Donor1
human1_lib3.final_cell_0199	alpha	Donor1
human1_lib3.final_cell_0200	beta	Donor1
human1_lib3.final_cell_0201	delta	Donor1
human1_lib3.final_cell_0202	beta	Donor1
human1_lib3.final_cell_0203	alpha	Donor1
human1_lib3.final_cell_0204	quiescent_stellate	Donor1
human1_lib3.final_cell_0205	ductal	Donor1
human1_lib3.final_cell_0206	delta	Donor1
human1_lib3.final_cell_0207	beta	Donor1
human1_lib3.final_cell_0208	beta	Donor1
human1_lib3.final_cell_0209	delta	Donor1
human1_lib3.final_cell_0210	alpha	Donor1
human1_lib3.final_cell_0211	beta	Donor1
human1_lib3.final_cell_0212	beta	Donor1
human1_lib3.final_cell_0213	delta	Donor1
human1_lib3.final_cell_0214	beta	Donor1
human1_lib3.final_cell_0215	beta	Donor1
human1_lib3.final_cell_0216	delta	Donor1
human1_lib3.final_cell_0217	ductal	Donor1
human1_lib3.final_cell_0218	ductal	Donor1
human1_lib3.final_cell_0219	beta	Donor1
human1_lib3.final_cell_0220	beta	Donor1
human1_lib3.final_cell_0221	beta	Donor1
human1_lib3.final_cell_0222	beta	Donor1
human1_lib3.final_cell_0223	endothelial	Donor1
human1_lib3.final_cell_0224	beta	Donor1
human1_lib3.final_cell_0225	beta	Donor1
human1_lib3.final_cell_0226	alpha	Donor1
human1_lib3.final_cell_0227	beta	Donor1
human1_lib3.final_cell_0228	beta	Donor1
human1_lib3.final_cell_0229	alpha	Donor1
human1_lib3.final_cell_0230	beta	Donor1
human1_lib3.final_cell_0231	acinar	Donor1
human1_lib3.final_cell_0232	delta	Donor1
human1_lib3.final_cell_0233	beta	Donor1
human1_lib3.final_cell_0234	beta	Donor1
human1_lib3.final_cell_0235	ductal	Donor1
human1_lib3.final_cell_0236	ductal	Donor1
human1_lib3.final_cell_0237	beta	Donor1
human1_lib3.final_cell_0238	alpha	Donor1
human1_lib3.final_cell_0239	beta	Donor1
human1_lib3.final_cell_0240	beta	Donor1
human1_lib3.final_cell_0241	ductal	Donor1
human1_lib3.final_cell_0242	alpha	Donor1
human1_lib3.final_cell_0243	activated_stellate	Donor1
human1_lib3.final_cell_0244	beta	Donor1
human1_lib3.final_cell_0245	alpha	Donor1
human1_lib3.final_cell_0246	ductal	Donor1
human1_lib3.final_cell_0247	delta	Donor1
human1_lib3.final_cell_0248	alpha	Donor1
human1_lib3.final_cell_0249	gamma	Donor1
human1_lib3.final_cell_0250	beta	Donor1
human1_lib3.final_cell_0251	activated_stellate	Donor1
human1_lib3.final_cell_0252	ductal	Donor1
human1_lib3.final_cell_0253	beta	Donor1
human1_lib3.final_cell_0254	beta	Donor1
human1_lib3.final_cell_0255	activated_stellate	Donor1
human1_lib3.final_cell_0256	beta	Donor1
human1_lib3.final_cell_0257	delta	Donor1
human1_lib3.final_cell_0258	activated_stellate	Donor1
human1_lib3.final_cell_0259	beta	Donor1
human1_lib3.final_cell_0260	gamma	Donor1
human1_lib3.final_cell_0261	beta	Donor1
human1_lib3.final_cell_0262	beta	Donor1
human1_lib3.final_cell_0263	beta	Donor1
human1_lib3.final_cell_0264	delta	Donor1
human1_lib3.final_cell_0265	beta	Donor1
human1_lib3.final_cell_0266	beta	Donor1
human1_lib3.final_cell_0267	alpha	Donor1
human1_lib3.final_cell_0268	beta	Donor1
human1_lib3.final_cell_0269	alpha	Donor1
human1_lib3.final_cell_0270	epsilon	Donor1
human1_lib3.final_cell_0271	activated_stellate	Donor1
human1_lib3.final_cell_0272	beta	Donor1
human1_lib3.final_cell_0273	alpha	Donor1
human1_lib3.final_cell_0274	ductal	Donor1
human1_lib3.final_cell_0275	alpha	Donor1
human1_lib3.final_cell_0276	beta	Donor1
human1_lib3.final_cell_0277	beta	Donor1
human1_lib3.final_cell_0278	delta	Donor1
human1_lib3.final_cell_0279	ductal	Donor1
human1_lib3.final_cell_0280	beta	Donor1
human1_lib3.final_cell_0281	alpha	Donor1
human1_lib3.final_cell_0282	delta	Donor1
human1_lib3.final_cell_0283	beta	Donor1
human1_lib3.final_cell_0284	beta	Donor1
human1_lib3.final_cell_0285	beta	Donor1
human1_lib3.final_cell_0286	beta	Donor1
human1_lib3.final_cell_0287	beta	Donor1
human1_lib3.final_cell_0288	activated_stellate	Donor1
human1_lib3.final_cell_0289	alpha	Donor1
human1_lib3.final_cell_0290	beta	Donor1
human1_lib3.final_cell_0291	ductal	Donor1
human1_lib3.final_cell_0292	delta	Donor1
human1_lib3.final_cell_0293	alpha	Donor1
human1_lib3.final_cell_0294	alpha	Donor1
human1_lib3.final_cell_0295	beta	Donor1
human1_lib3.final_cell_0296	beta	Donor1
human1_lib3.final_cell_0297	beta	Donor1
human1_lib3.final_cell_0298	delta	Donor1
human1_lib3.final_cell_0299	alpha	Donor1
human1_lib3.final_cell_0300	beta	Donor1
human1_lib3.final_cell_0301	beta	Donor1
human1_lib3.final_cell_0302	beta	Donor1
human1_lib3.final_cell_0303	beta	Donor1
human1_lib3.final_cell_0304	beta	Donor1
human1_lib3.final_cell_0305	delta	Donor1
human1_lib3.final_cell_0306	beta	Donor1
human1_lib3.final_cell_0307	beta	Donor1
human1_lib3.final_cell_0308	beta	Donor1
human1_lib3.final_cell_0309	alpha	Donor1
human1_lib3.final_cell_0310	beta	Donor1
human1_lib3.final_cell_0311	gamma	Donor1
human1_lib3.final_cell_0312	beta	Donor1
human1_lib3.final_cell_0313	activated_stellate	Donor1
human1_lib3.final_cell_0314	beta	Donor1
human1_lib3.final_cell_0315	alpha	Donor1
human1_lib3.final_cell_0316	alpha	Donor1
human1_lib3.final_cell_0317	beta	Donor1
human1_lib3.final_cell_0318	beta	Donor1
human1_lib3.final_cell_0319	delta	Donor1
human1_lib3.final_cell_0320	beta	Donor1
human1_lib3.final_cell_0321	beta	Donor1
human1_lib3.final_cell_0322	beta	Donor1
human1_lib3.final_cell_0323	beta	Donor1
human1_lib3.final_cell_0324	beta	Donor1
human1_lib3.final_cell_0325	beta	Donor1
human1_lib3.final_cell_0326	quiescent_stellate	Donor1
human1_lib3.final_cell_0327	ductal	Donor1
human1_lib3.final_cell_0328	ductal	Donor1
human1_lib3.final_cell_0329	delta	Donor1
human1_lib3.final_cell_0330	alpha	Donor1
human1_lib3.final_cell_0331	beta	Donor1
human1_lib3.final_cell_0332	beta	Donor1
human1_lib3.final_cell_0333	beta	Donor1
human1_lib3.final_cell_0334	beta	Donor1
human1_lib3.final_cell_0335	beta	Donor1
human1_lib3.final_cell_0336	beta	Donor1
human1_lib3.final_cell_0337	gamma	Donor1
human1_lib3.final_cell_0338	beta	Donor1
human1_lib3.final_cell_0339	beta	Donor1
human1_lib3.final_cell_0340	gamma	Donor1
human1_lib3.final_cell_0341	alpha	Donor1
human1_lib3.final_cell_0342	beta	Donor1
human1_lib3.final_cell_0343	alpha	Donor1
human1_lib3.final_cell_0344	alpha	Donor1
human1_lib3.final_cell_0345	beta	Donor1
human1_lib3.final_cell_0346	delta	Donor1
human1_lib3.final_cell_0347	beta	Donor1
human1_lib3.final_cell_0348	beta	Donor1
human1_lib3.final_cell_0349	beta	Donor1
human1_lib3.final_cell_0350	beta	Donor1
human1_lib3.final_cell_0351	endothelial	Donor1
human1_lib3.final_cell_0352	beta	Donor1
human1_lib3.final_cell_0353	quiescent_stellate	Donor1
human1_lib3.final_cell_0354	beta	Donor1
human1_lib3.final_cell_0355	beta	Donor1
human1_lib3.final_cell_0356	alpha	Donor1
human1_lib3.final_cell_0357	ductal	Donor1
human1_lib3.final_cell_0358	beta	Donor1
human1_lib3.final_cell_0359	beta	Donor1
human1_lib3.final_cell_0360	gamma	Donor1
human1_lib3.final_cell_0361	alpha	Donor1
human1_lib3.final_cell_0362	gamma	Donor1
human1_lib3.final_cell_0363	beta	Donor1
human1_lib3.final_cell_0364	beta	Donor1
human1_lib3.final_cell_0365	alpha	Donor1
human1_lib3.final_cell_0366	alpha	Donor1
human1_lib3.final_cell_0367	ductal	Donor1
human1_lib3.final_cell_0368	beta	Donor1
human1_lib3.final_cell_0369	alpha	Donor1
human1_lib3.final_cell_0370	beta	Donor1
human1_lib3.final_cell_0371	delta	Donor1
human1_lib3.final_cell_0372	ductal	Donor1
human1_lib3.final_cell_0373	beta	Donor1
human1_lib3.final_cell_0374	beta	Donor1
human1_lib3.final_cell_0375	beta	Donor1
human1_lib3.final_cell_0376	beta	Donor1
human1_lib3.final_cell_0377	beta	Donor1
human1_lib3.final_cell_0378	beta	Donor1
human1_lib3.final_cell_0379	ductal	Donor1
human1_lib3.final_cell_0380	beta	Donor1
human1_lib3.final_cell_0381	alpha	Donor1
human1_lib3.final_cell_0382	beta	Donor1
human1_lib3.final_cell_0383	beta	Donor1
human1_lib3.final_cell_0384	alpha	Donor1
human1_lib3.final_cell_0385	acinar	Donor1
human1_lib3.final_cell_0386	acinar	Donor1
human1_lib3.final_cell_0387	beta	Donor1
human1_lib3.final_cell_0388	beta	Donor1
human1_lib3.final_cell_0389	beta	Donor1
human1_lib3.final_cell_0390	alpha	Donor1
human1_lib3.final_cell_0391	alpha	Donor1
human1_lib3.final_cell_0392	alpha	Donor1
human1_lib3.final_cell_0393	alpha	Donor1
human1_lib3.final_cell_0394	beta	Donor1
human1_lib3.final_cell_0395	alpha	Donor1
human1_lib3.final_cell_0396	beta	Donor1
human1_lib3.final_cell_0397	alpha	Donor1
human1_lib3.final_cell_0398	beta	Donor1
human1_lib3.final_cell_0399	beta	Donor1
human1_lib3.final_cell_0400	beta	Donor1
human1_lib3.final_cell_0401	alpha	Donor1
human1_lib3.final_cell_0402	delta	Donor1
human1_lib3.final_cell_0403	alpha	Donor1
human1_lib3.final_cell_0404	beta	Donor1
human1_lib3.final_cell_0405	beta	Donor1
human1_lib3.final_cell_0406	beta	Donor1
human1_lib3.final_cell_0407	alpha	Donor1
human1_lib3.final_cell_0408	gamma	Donor1
human1_lib3.final_cell_0409	acinar	Donor1
human1_lib3.final_cell_0410	beta	Donor1
human1_lib3.final_cell_0411	ductal	Donor1
human1_lib3.final_cell_0412	delta	Donor1
human1_lib3.final_cell_0413	beta	Donor1
human1_lib3.final_cell_0414	ductal	Donor1
human1_lib3.final_cell_0415	gamma	Donor1
human1_lib3.final_cell_0416	beta	Donor1
human1_lib3.final_cell_0417	quiescent_stellate	Donor1
human1_lib3.final_cell_0418	ductal	Donor1
human1_lib3.final_cell_0419	delta	Donor1
human1_lib3.final_cell_0420	gamma	Donor1
human1_lib3.final_cell_0421	beta	Donor1
human1_lib3.final_cell_0422	beta	Donor1
human1_lib3.final_cell_0423	beta	Donor1
human1_lib3.final_cell_0424	gamma	Donor1
human1_lib3.final_cell_0425	ductal	Donor1
human1_lib3.final_cell_0426	alpha	Donor1
human1_lib3.final_cell_0427	acinar	Donor1
human1_lib3.final_cell_0428	ductal	Donor1
human1_lib3.final_cell_0429	endothelial	Donor1
human1_lib3.final_cell_0430	alpha	Donor1
human1_lib3.final_cell_0431	endothelial	Donor1
human1_lib3.final_cell_0432	beta	Donor1
human1_lib3.final_cell_0433	beta	Donor1
human1_lib3.final_cell_0434	beta	Donor1
human1_lib3.final_cell_0435	beta	Donor1
human1_lib3.final_cell_0436	alpha	Donor1
human1_lib3.final_cell_0437	beta	Donor1
human1_lib3.final_cell_0438	ductal	Donor1
human1_lib3.final_cell_0439	ductal	Donor1
human1_lib3.final_cell_0440	beta	Donor1
human1_lib3.final_cell_0441	beta	Donor1
human1_lib3.final_cell_0442	gamma	Donor1
human1_lib3.final_cell_0443	beta	Donor1
human1_lib3.final_cell_0444	quiescent_stellate	Donor1
human1_lib3.final_cell_0445	ductal	Donor1
human1_lib3.final_cell_0446	beta	Donor1
human1_lib3.final_cell_0447	acinar	Donor1
human1_lib3.final_cell_0448	ductal	Donor1
human1_lib3.final_cell_0449	endothelial	Donor1
human1_lib3.final_cell_0450	acinar	Donor1
human1_lib3.final_cell_0451	gamma	Donor1
human1_lib3.final_cell_0452	beta	Donor1
human1_lib3.final_cell_0453	beta	Donor1
human1_lib3.final_cell_0454	quiescent_stellate	Donor1
human1_lib3.final_cell_0455	beta	Donor1
human1_lib3.final_cell_0456	beta	Donor1
human1_lib3.final_cell_0457	epsilon	Donor1
human1_lib3.final_cell_0458	beta	Donor1
human1_lib3.final_cell_0459	alpha	Donor1
human1_lib3.final_cell_0460	alpha	Donor1
human1_lib3.final_cell_0461	delta	Donor1
human1_lib3.final_cell_0462	beta	Donor1
human1_lib3.final_cell_0463	epsilon	Donor1
human1_lib3.final_cell_0464	beta	Donor1
human1_lib3.final_cell_0465	alpha	Donor1
human1_lib3.final_cell_0466	beta	Donor1
human1_lib3.final_cell_0467	beta	Donor1
human1_lib3.final_cell_0468	gamma	Donor1
human1_lib3.final_cell_0469	acinar	Donor1
human1_lib3.final_cell_0470	beta	Donor1
human1_lib3.final_cell_0471	alpha	Donor1
human1_lib3.final_cell_0472	beta	Donor1
human1_lib3.final_cell_0473	alpha	Donor1
human1_lib3.final_cell_0474	ductal	Donor1
human1_lib3.final_cell_0475	alpha	Donor1
human1_lib3.final_cell_0476	beta	Donor1
human1_lib3.final_cell_0477	beta	Donor1
human1_lib3.final_cell_0478	gamma	Donor1
human1_lib3.final_cell_0479	beta	Donor1
human1_lib3.final_cell_0480	beta	Donor1
human1_lib3.final_cell_0481	delta	Donor1
human1_lib3.final_cell_0482	delta	Donor1
human1_lib3.final_cell_0483	delta	Donor1
human1_lib3.final_cell_0484	quiescent_stellate	Donor1
human1_lib3.final_cell_0485	beta	Donor1
human1_lib3.final_cell_0486	beta	Donor1
human1_lib3.final_cell_0487	alpha	Donor1
human1_lib3.final_cell_0488	beta	Donor1
human1_lib3.final_cell_0489	alpha	Donor1
human1_lib3.final_cell_0490	alpha	Donor1
human1_lib3.final_cell_0491	beta	Donor1
human1_lib3.final_cell_0492	beta	Donor1
human1_lib3.final_cell_0493	beta	Donor1
human1_lib3.final_cell_0494	alpha	Donor1
human1_lib3.final_cell_0495	beta	Donor1
human1_lib3.final_cell_0496	beta	Donor1
human1_lib3.final_cell_0497	quiescent_stellate	Donor1
human1_lib3.final_cell_0498	alpha	Donor1
human1_lib3.final_cell_0499	endothelial	Donor1
human1_lib3.final_cell_0500	gamma	Donor1
human1_lib3.final_cell_0501	beta	Donor1
human1_lib3.final_cell_0502	beta	Donor1
human1_lib3.final_cell_0503	quiescent_stellate	Donor1
human1_lib3.final_cell_0504	beta	Donor1
human1_lib3.final_cell_0505	alpha	Donor1
human1_lib3.final_cell_0506	delta	Donor1
human1_lib3.final_cell_0507	beta	Donor1
human1_lib3.final_cell_0508	acinar	Donor1
human1_lib3.final_cell_0509	beta	Donor1
human1_lib3.final_cell_0510	endothelial	Donor1
human1_lib3.final_cell_0511	endothelial	Donor1
human1_lib3.final_cell_0512	beta	Donor1
human1_lib3.final_cell_0513	beta	Donor1
human1_lib3.final_cell_0514	alpha	Donor1
human1_lib3.final_cell_0515	beta	Donor1
human1_lib3.final_cell_0516	mast	Donor1
human1_lib3.final_cell_0517	beta	Donor1
human1_lib3.final_cell_0518	alpha	Donor1
human1_lib3.final_cell_0519	endothelial	Donor1
human1_lib3.final_cell_0520	beta	Donor1
human1_lib3.final_cell_0521	beta	Donor1
human1_lib3.final_cell_0522	beta	Donor1
human1_lib3.final_cell_0523	endothelial	Donor1
human1_lib3.final_cell_0524	alpha	Donor1
human1_lib3.final_cell_0525	beta	Donor1
human1_lib3.final_cell_0526	beta	Donor1
human1_lib3.final_cell_0527	beta	Donor1
human1_lib3.final_cell_0528	beta	Donor1
human1_lib3.final_cell_0529	alpha	Donor1
human1_lib3.final_cell_0530	mast	Donor1
human1_lib3.final_cell_0531	beta	Donor1
human1_lib3.final_cell_0532	epsilon	Donor1
human1_lib3.final_cell_0533	endothelial	Donor1
human1_lib3.final_cell_0534	quiescent_stellate	Donor1
human1_lib3.final_cell_0535	alpha	Donor1
human1_lib3.final_cell_0536	alpha	Donor1
human1_lib3.final_cell_0537	beta	Donor1
human1_lib3.final_cell_0538	beta	Donor1
human1_lib3.final_cell_0539	acinar	Donor1
human1_lib3.final_cell_0540	delta	Donor1
human1_lib3.final_cell_0541	acinar	Donor1
human1_lib3.final_cell_0542	beta	Donor1
human1_lib3.final_cell_0543	beta	Donor1
human1_lib3.final_cell_0544	endothelial	Donor1
human1_lib3.final_cell_0545	beta	Donor1
human1_lib3.final_cell_0546	macrophage	Donor1
human1_lib3.final_cell_0547	acinar	Donor1
human1_lib3.final_cell_0548	quiescent_stellate	Donor1
human1_lib3.final_cell_0549	beta	Donor1
human1_lib3.final_cell_0550	beta	Donor1
human1_lib3.final_cell_0551	beta	Donor1
human1_lib3.final_cell_0552	endothelial	Donor1
human1_lib3.final_cell_0553	beta	Donor1
human1_lib3.final_cell_0554	beta	Donor1
human1_lib3.final_cell_0555	ductal	Donor1
human1_lib3.final_cell_0556	beta	Donor1
human1_lib3.final_cell_0557	beta	Donor1
human1_lib3.final_cell_0558	quiescent_stellate	Donor1
human1_lib3.final_cell_0559	beta	Donor1
human1_lib3.final_cell_0560	acinar	Donor1
human1_lib3.final_cell_0561	beta	Donor1
human1_lib3.final_cell_0562	delta	Donor1
human1_lib3.final_cell_0563	beta	Donor1
human1_lib3.final_cell_0564	beta	Donor1
human1_lib3.final_cell_0565	beta	Donor1
human1_lib3.final_cell_0566	beta	Donor1
human1_lib3.final_cell_0567	quiescent_stellate	Donor1
human1_lib3.final_cell_0568	alpha	Donor1
human1_lib3.final_cell_0569	endothelial	Donor1
human1_lib3.final_cell_0570	beta	Donor1
human1_lib3.final_cell_0571	delta	Donor1
human1_lib3.final_cell_0572	gamma	Donor1
human1_lib3.final_cell_0573	beta	Donor1
human1_lib3.final_cell_0574	quiescent_stellate	Donor1
human1_lib3.final_cell_0575	endothelial	Donor1
human1_lib3.final_cell_0576	alpha	Donor1
human1_lib3.final_cell_0577	beta	Donor1
human1_lib3.final_cell_0578	ductal	Donor1
human1_lib3.final_cell_0579	beta	Donor1
human1_lib3.final_cell_0580	beta	Donor1
human1_lib3.final_cell_0581	beta	Donor1
human1_lib3.final_cell_0582	quiescent_stellate	Donor1
human1_lib3.final_cell_0583	beta	Donor1
human1_lib3.final_cell_0584	epsilon	Donor1
human1_lib3.final_cell_0585	beta	Donor1
human1_lib3.final_cell_0586	beta	Donor1
human1_lib3.final_cell_0587	alpha	Donor1
human1_lib3.final_cell_0588	beta	Donor1
human1_lib3.final_cell_0589	endothelial	Donor1
human1_lib3.final_cell_0590	endothelial	Donor1
human1_lib3.final_cell_0591	quiescent_stellate	Donor1
human1_lib3.final_cell_0592	beta	Donor1
human1_lib3.final_cell_0593	beta	Donor1
human1_lib3.final_cell_0594	epsilon	Donor1
human1_lib3.final_cell_0595	quiescent_stellate	Donor1
human1_lib3.final_cell_0596	beta	Donor1
human1_lib3.final_cell_0597	mast	Donor1
human1_lib3.final_cell_0598	ductal	Donor1
human1_lib3.final_cell_0599	alpha	Donor1
human1_lib3.final_cell_0600	acinar	Donor1
human1_lib3.final_cell_0601	acinar	Donor1
human1_lib3.final_cell_0602	endothelial	Donor1
human1_lib3.final_cell_0603	ductal	Donor1
human1_lib3.final_cell_0604	endothelial	Donor1
human1_lib3.final_cell_0605	alpha	Donor1
