Barcode	Set	Platform	Type
GSE85241_D31.3_91	GSE85241	CEL-Seq2	alpha
GSE85241_D31.3_92	GSE85241	CEL-Seq2	beta
GSE85241_D31.3_93	GSE85241	CEL-Seq2	alpha
GSE85241_D31.3_94	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_1	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_2	GSE85241	CEL-Seq2	delta
GSE85241_D31.4_3	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_4	GSE85241	CEL-Seq2	PP
GSE85241_D31.4_5	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_6	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_7	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_8	GSE85241	CEL-Seq2	delta
GSE85241_D31.4_9	GSE85241	CEL-Seq2	acinar
GSE85241_D31.4_10	GSE85241	CEL-Seq2	beta
GSE85241_D31.4_11	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_12	GSE85241	CEL-Seq2	beta
GSE85241_D31.4_13	GSE85241	CEL-Seq2	acinar
GSE85241_D31.4_14	GSE85241	CEL-Seq2	acinar
GSE85241_D31.4_15	GSE85241	CEL-Seq2	PP
GSE85241_D31.4_16	GSE85241	CEL-Seq2	MC
GSE85241_D31.4_17	GSE85241	CEL-Seq2	beta
GSE85241_D31.4_18	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_19	GSE85241	CEL-Seq2	beta
GSE85241_D31.4_20	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_21	GSE85241	CEL-Seq2	beta
GSE85241_D31.4_22	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_23	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_24	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_25	GSE85241	CEL-Seq2	beta
GSE85241_D31.4_26	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_27	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_28	GSE85241	CEL-Seq2	delta
GSE85241_D31.4_29	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_30	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_31	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_32	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_33	GSE85241	CEL-Seq2	ductal
GSE85241_D31.4_34	GSE85241	CEL-Seq2	beta
GSE85241_D31.4_35	GSE85241	CEL-Seq2	ductal
GSE85241_D31.4_36	GSE85241	CEL-Seq2	acinar
GSE85241_D31.4_37	GSE85241	CEL-Seq2	PP
GSE85241_D31.4_38	GSE85241	CEL-Seq2	ductal
GSE85241_D31.4_39	GSE85241	CEL-Seq2	beta
GSE85241_D31.4_40	GSE85241	CEL-Seq2	PP
GSE85241_D31.4_41	GSE85241	CEL-Seq2	acinar
GSE85241_D31.4_42	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_43	GSE85241	CEL-Seq2	acinar
GSE85241_D31.4_44	GSE85241	CEL-Seq2	beta
GSE85241_D31.4_45	GSE85241	CEL-Seq2	beta
GSE85241_D31.4_46	GSE85241	CEL-Seq2	delta
GSE85241_D31.4_47	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_48	GSE85241	CEL-Seq2	acinar
GSE85241_D31.4_49	GSE85241	CEL-Seq2	beta
GSE85241_D31.4_50	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_51	GSE85241	CEL-Seq2	beta
GSE85241_D31.4_52	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_53	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_54	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_55	GSE85241	CEL-Seq2	acinar
GSE85241_D31.4_56	GSE85241	CEL-Seq2	ductal
GSE85241_D31.4_57	GSE85241	CEL-Seq2	ductal
GSE85241_D31.4_58	GSE85241	CEL-Seq2	beta
GSE85241_D31.4_59	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_60	GSE85241	CEL-Seq2	delta
GSE85241_D31.4_61	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_62	GSE85241	CEL-Seq2	delta
GSE85241_D31.4_63	GSE85241	CEL-Seq2	beta
GSE85241_D31.4_64	GSE85241	CEL-Seq2	beta
GSE85241_D31.4_65	GSE85241	CEL-Seq2	beta
GSE85241_D31.4_66	GSE85241	CEL-Seq2	beta
GSE85241_D31.4_67	GSE85241	CEL-Seq2	MC
GSE85241_D31.4_68	GSE85241	CEL-Seq2	ductal
GSE85241_D31.4_69	GSE85241	CEL-Seq2	ductal
GSE85241_D31.4_70	GSE85241	CEL-Seq2	acinar
GSE85241_D31.4_71	GSE85241	CEL-Seq2	ductal
GSE85241_D31.4_72	GSE85241	CEL-Seq2	acinar
GSE85241_D31.4_73	GSE85241	CEL-Seq2	ductal
GSE85241_D31.4_74	GSE85241	CEL-Seq2	beta
GSE85241_D31.4_75	GSE85241	CEL-Seq2	beta
GSE85241_D31.4_76	GSE85241	CEL-Seq2	ductal
GSE85241_D31.4_77	GSE85241	CEL-Seq2	ductal
GSE85241_D31.4_78	GSE85241	CEL-Seq2	delta
GSE85241_D31.4_79	GSE85241	CEL-Seq2	acinar
GSE85241_D31.4_80	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_81	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_82	GSE85241	CEL-Seq2	beta
GSE85241_D31.4_83	GSE85241	CEL-Seq2	beta
GSE85241_D31.4_84	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_85	GSE85241	CEL-Seq2	beta
GSE85241_D31.4_87	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_89	GSE85241	CEL-Seq2	alpha
GSE85241_D31.4_90	GSE85241	CEL-Seq2	acinar
GSE85241_D31.4_91	GSE85241	CEL-Seq2	acinar
GSE85241_D31.4_92	GSE85241	CEL-Seq2	beta
GSE85241_D31.4_93	GSE85241	CEL-Seq2	acinar
GSE85241_D31.4_94	GSE85241	CEL-Seq2	beta
GSE85241_D31.5_1	GSE85241	CEL-Seq2	acinar
GSE85241_D31.5_2	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_3	GSE85241	CEL-Seq2	beta
GSE85241_D31.5_4	GSE85241	CEL-Seq2	acinar
GSE85241_D31.5_5	GSE85241	CEL-Seq2	beta
GSE85241_D31.5_6	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_8	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_9	GSE85241	CEL-Seq2	beta
GSE85241_D31.5_10	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_11	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_12	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_13	GSE85241	CEL-Seq2	ductal
GSE85241_D31.5_14	GSE85241	CEL-Seq2	ductal
GSE85241_D31.5_15	GSE85241	CEL-Seq2	beta
GSE85241_D31.5_16	GSE85241	CEL-Seq2	acinar
GSE85241_D31.5_17	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_18	GSE85241	CEL-Seq2	delta
GSE85241_D31.5_19	GSE85241	CEL-Seq2	ductal
GSE85241_D31.5_20	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_21	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_22	GSE85241	CEL-Seq2	beta
GSE85241_D31.5_23	GSE85241	CEL-Seq2	delta
GSE85241_D31.5_24	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_25	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_26	GSE85241	CEL-Seq2	beta
GSE85241_D31.5_27	GSE85241	CEL-Seq2	beta
GSE85241_D31.5_29	GSE85241	CEL-Seq2	beta
GSE85241_D31.5_30	GSE85241	CEL-Seq2	beta
GSE85241_D31.5_31	GSE85241	CEL-Seq2	PP
GSE85241_D31.5_32	GSE85241	CEL-Seq2	beta
GSE85241_D31.5_33	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_34	GSE85241	CEL-Seq2	acinar
GSE85241_D31.5_35	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_36	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_37	GSE85241	CEL-Seq2	ductal
GSE85241_D31.5_38	GSE85241	CEL-Seq2	beta
GSE85241_D31.5_39	GSE85241	CEL-Seq2	acinar
GSE85241_D31.5_41	GSE85241	CEL-Seq2	ductal
GSE85241_D31.5_42	GSE85241	CEL-Seq2	delta
GSE85241_D31.5_44	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_45	GSE85241	CEL-Seq2	acinar
GSE85241_D31.5_46	GSE85241	CEL-Seq2	delta
GSE85241_D31.5_47	GSE85241	CEL-Seq2	MC
GSE85241_D31.5_48	GSE85241	CEL-Seq2	acinar
GSE85241_D31.5_49	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_50	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_51	GSE85241	CEL-Seq2	ductal
GSE85241_D31.5_52	GSE85241	CEL-Seq2	beta
GSE85241_D31.5_53	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_54	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_55	GSE85241	CEL-Seq2	delta
GSE85241_D31.5_56	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_57	GSE85241	CEL-Seq2	acinar
GSE85241_D31.5_58	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_59	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_60	GSE85241	CEL-Seq2	acinar
GSE85241_D31.5_61	GSE85241	CEL-Seq2	beta
GSE85241_D31.5_62	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_63	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_64	GSE85241	CEL-Seq2	ductal
GSE85241_D31.5_65	GSE85241	CEL-Seq2	ductal
GSE85241_D31.5_66	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_67	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_68	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_69	GSE85241	CEL-Seq2	acinar
GSE85241_D31.5_70	GSE85241	CEL-Seq2	acinar
GSE85241_D31.5_71	GSE85241	CEL-Seq2	delta
GSE85241_D31.5_72	GSE85241	CEL-Seq2	EC
GSE85241_D31.5_73	GSE85241	CEL-Seq2	ductal
GSE85241_D31.5_74	GSE85241	CEL-Seq2	beta
GSE85241_D31.5_75	GSE85241	CEL-Seq2	acinar
GSE85241_D31.5_76	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_77	GSE85241	CEL-Seq2	MC
GSE85241_D31.5_78	GSE85241	CEL-Seq2	MC
GSE85241_D31.5_79	GSE85241	CEL-Seq2	acinar
GSE85241_D31.5_80	GSE85241	CEL-Seq2	beta
GSE85241_D31.5_81	GSE85241	CEL-Seq2	ductal
GSE85241_D31.5_82	GSE85241	CEL-Seq2	MC
GSE85241_D31.5_83	GSE85241	CEL-Seq2	MC
GSE85241_D31.5_84	GSE85241	CEL-Seq2	delta
GSE85241_D31.5_85	GSE85241	CEL-Seq2	beta
GSE85241_D31.5_86	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_87	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_88	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_89	GSE85241	CEL-Seq2	acinar
GSE85241_D31.5_90	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_91	GSE85241	CEL-Seq2	ductal
GSE85241_D31.5_92	GSE85241	CEL-Seq2	acinar
GSE85241_D31.5_93	GSE85241	CEL-Seq2	alpha
GSE85241_D31.5_94	GSE85241	CEL-Seq2	beta
GSE85241_D31.6_1	GSE85241	CEL-Seq2	MC
GSE85241_D31.6_2	GSE85241	CEL-Seq2	alpha
GSE85241_D31.6_3	GSE85241	CEL-Seq2	PP
GSE85241_D31.6_4	GSE85241	CEL-Seq2	ductal
GSE85241_D31.6_5	GSE85241	CEL-Seq2	PP
GSE85241_D31.6_6	GSE85241	CEL-Seq2	EC
GSE85241_D31.6_7	GSE85241	CEL-Seq2	delta
GSE85241_D31.6_9	GSE85241	CEL-Seq2	acinar
GSE85241_D31.6_10	GSE85241	CEL-Seq2	alpha
GSE85241_D31.6_11	GSE85241	CEL-Seq2	acinar
GSE85241_D31.6_12	GSE85241	CEL-Seq2	delta
GSE85241_D31.6_13	GSE85241	CEL-Seq2	acinar
GSE85241_D31.6_15	GSE85241	CEL-Seq2	beta
GSE85241_D31.6_16	GSE85241	CEL-Seq2	beta
GSE85241_D31.6_18	GSE85241	CEL-Seq2	alpha
GSE85241_D31.6_19	GSE85241	CEL-Seq2	beta
GSE85241_D31.6_20	GSE85241	CEL-Seq2	beta
GSE85241_D31.6_21	GSE85241	CEL-Seq2	acinar
GSE85241_D31.6_22	GSE85241	CEL-Seq2	beta
GSE85241_D31.6_23	GSE85241	CEL-Seq2	MC
GSE85241_D31.6_24	GSE85241	CEL-Seq2	acinar
GSE85241_D31.6_25	GSE85241	CEL-Seq2	delta
GSE85241_D31.6_27	GSE85241	CEL-Seq2	ductal
GSE85241_D31.6_28	GSE85241	CEL-Seq2	ductal
GSE85241_D31.6_29	GSE85241	CEL-Seq2	acinar
GSE85241_D31.6_30	GSE85241	CEL-Seq2	alpha
GSE85241_D31.6_31	GSE85241	CEL-Seq2	beta
GSE85241_D31.6_32	GSE85241	CEL-Seq2	PP
GSE85241_D31.6_33	GSE85241	CEL-Seq2	acinar
GSE85241_D31.6_34	GSE85241	CEL-Seq2	ductal
GSE85241_D31.6_35	GSE85241	CEL-Seq2	alpha
GSE85241_D31.6_36	GSE85241	CEL-Seq2	alpha
GSE85241_D31.6_37	GSE85241	CEL-Seq2	ductal
GSE85241_D31.6_38	GSE85241	CEL-Seq2	delta
GSE85241_D31.6_39	GSE85241	CEL-Seq2	acinar
GSE85241_D31.6_40	GSE85241	CEL-Seq2	acinar
GSE85241_D31.6_41	GSE85241	CEL-Seq2	ductal
GSE85241_D31.6_42	GSE85241	CEL-Seq2	beta
GSE85241_D31.6_43	GSE85241	CEL-Seq2	acinar
GSE85241_D31.6_44	GSE85241	CEL-Seq2	ductal
GSE85241_D31.6_45	GSE85241	CEL-Seq2	alpha
GSE85241_D31.6_46	GSE85241	CEL-Seq2	delta
GSE85241_D31.6_47	GSE85241	CEL-Seq2	beta
GSE85241_D31.6_48	GSE85241	CEL-Seq2	alpha
GSE85241_D31.6_49	GSE85241	CEL-Seq2	beta
GSE85241_D31.6_50	GSE85241	CEL-Seq2	ductal
GSE85241_D31.6_51	GSE85241	CEL-Seq2	ductal
GSE85241_D31.6_52	GSE85241	CEL-Seq2	acinar
GSE85241_D31.6_53	GSE85241	CEL-Seq2	acinar
GSE85241_D31.6_54	GSE85241	CEL-Seq2	alpha
GSE85241_D31.6_55	GSE85241	CEL-Seq2	alpha
GSE85241_D31.6_56	GSE85241	CEL-Seq2	alpha
GSE85241_D31.6_57	GSE85241	CEL-Seq2	EC
GSE85241_D31.6_58	GSE85241	CEL-Seq2	beta
GSE85241_D31.6_59	GSE85241	CEL-Seq2	alpha
GSE85241_D31.6_60	GSE85241	CEL-Seq2	beta
GSE85241_D31.6_61	GSE85241	CEL-Seq2	acinar
GSE85241_D31.6_62	GSE85241	CEL-Seq2	acinar
GSE85241_D31.6_63	GSE85241	CEL-Seq2	alpha
GSE85241_D31.6_64	GSE85241	CEL-Seq2	alpha
GSE85241_D31.6_65	GSE85241	CEL-Seq2	beta
GSE85241_D31.6_66	GSE85241	CEL-Seq2	acinar
GSE85241_D31.6_67	GSE85241	CEL-Seq2	beta
GSE85241_D31.6_68	GSE85241	CEL-Seq2	ductal
GSE85241_D31.6_69	GSE85241	CEL-Seq2	acinar
GSE85241_D31.6_70	GSE85241	CEL-Seq2	EC
GSE85241_D31.6_71	GSE85241	CEL-Seq2	PP
GSE85241_D31.6_72	GSE85241	CEL-Seq2	ductal
GSE85241_D31.6_73	GSE85241	CEL-Seq2	EC
GSE85241_D31.6_74	GSE85241	CEL-Seq2	alpha
GSE85241_D31.6_75	GSE85241	CEL-Seq2	acinar
GSE85241_D31.6_76	GSE85241	CEL-Seq2	beta
GSE85241_D31.6_77	GSE85241	CEL-Seq2	alpha
GSE85241_D31.6_78	GSE85241	CEL-Seq2	alpha
GSE85241_D31.6_79	GSE85241	CEL-Seq2	ductal
GSE85241_D31.6_80	GSE85241	CEL-Seq2	beta
GSE85241_D31.6_81	GSE85241	CEL-Seq2	acinar
GSE85241_D31.6_82	GSE85241	CEL-Seq2	ductal
GSE85241_D31.6_83	GSE85241	CEL-Seq2	alpha
GSE85241_D31.6_84	GSE85241	CEL-Seq2	MC
GSE85241_D31.6_85	GSE85241	CEL-Seq2	beta
GSE85241_D31.6_86	GSE85241	CEL-Seq2	acinar
GSE85241_D31.6_87	GSE85241	CEL-Seq2	beta
GSE85241_D31.6_88	GSE85241	CEL-Seq2	alpha
GSE85241_D31.6_89	GSE85241	CEL-Seq2	alpha
GSE85241_D31.6_90	GSE85241	CEL-Seq2	alpha
GSE85241_D31.6_91	GSE85241	CEL-Seq2	alpha
GSE85241_D31.6_92	GSE85241	CEL-Seq2	beta
GSE85241_D31.6_93	GSE85241	CEL-Seq2	ductal
GSE85241_D31.6_94	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_1	GSE85241	CEL-Seq2	beta
GSE85241_D31.7_2	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_3	GSE85241	CEL-Seq2	beta
GSE85241_D31.7_4	GSE85241	CEL-Seq2	EC
GSE85241_D31.7_6	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_7	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_8	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_9	GSE85241	CEL-Seq2	acinar
GSE85241_D31.7_10	GSE85241	CEL-Seq2	ductal
GSE85241_D31.7_11	GSE85241	CEL-Seq2	acinar
GSE85241_D31.7_12	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_13	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_14	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_15	GSE85241	CEL-Seq2	PP
GSE85241_D31.7_16	GSE85241	CEL-Seq2	ductal
GSE85241_D31.7_17	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_18	GSE85241	CEL-Seq2	ductal
GSE85241_D31.7_19	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_20	GSE85241	CEL-Seq2	MC
GSE85241_D31.7_21	GSE85241	CEL-Seq2	acinar
GSE85241_D31.7_22	GSE85241	CEL-Seq2	beta
GSE85241_D31.7_23	GSE85241	CEL-Seq2	ductal
GSE85241_D31.7_25	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_26	GSE85241	CEL-Seq2	ductal
GSE85241_D31.7_27	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_28	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_29	GSE85241	CEL-Seq2	ductal
GSE85241_D31.7_30	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_31	GSE85241	CEL-Seq2	EC
GSE85241_D31.7_32	GSE85241	CEL-Seq2	EC
GSE85241_D31.7_33	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_34	GSE85241	CEL-Seq2	beta
GSE85241_D31.7_35	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_36	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_37	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_38	GSE85241	CEL-Seq2	acinar
GSE85241_D31.7_39	GSE85241	CEL-Seq2	beta
GSE85241_D31.7_40	GSE85241	CEL-Seq2	beta
GSE85241_D31.7_41	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_42	GSE85241	CEL-Seq2	ductal
GSE85241_D31.7_43	GSE85241	CEL-Seq2	EC
GSE85241_D31.7_44	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_45	GSE85241	CEL-Seq2	beta
GSE85241_D31.7_46	GSE85241	CEL-Seq2	beta
GSE85241_D31.7_47	GSE85241	CEL-Seq2	beta
GSE85241_D31.7_48	GSE85241	CEL-Seq2	MC
GSE85241_D31.7_49	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_50	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_51	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_52	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_53	GSE85241	CEL-Seq2	beta
GSE85241_D31.7_54	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_55	GSE85241	CEL-Seq2	beta
GSE85241_D31.7_56	GSE85241	CEL-Seq2	ductal
GSE85241_D31.7_57	GSE85241	CEL-Seq2	ductal
GSE85241_D31.7_58	GSE85241	CEL-Seq2	acinar
GSE85241_D31.7_59	GSE85241	CEL-Seq2	beta
GSE85241_D31.7_60	GSE85241	CEL-Seq2	beta
GSE85241_D31.7_61	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_62	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_63	GSE85241	CEL-Seq2	acinar
GSE85241_D31.7_64	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_65	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_66	GSE85241	CEL-Seq2	delta
GSE85241_D31.7_67	GSE85241	CEL-Seq2	beta
GSE85241_D31.7_68	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_69	GSE85241	CEL-Seq2	beta
GSE85241_D31.7_70	GSE85241	CEL-Seq2	acinar
GSE85241_D31.7_71	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_72	GSE85241	CEL-Seq2	beta
GSE85241_D31.7_73	GSE85241	CEL-Seq2	ductal
GSE85241_D31.7_74	GSE85241	CEL-Seq2	delta
GSE85241_D31.7_75	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_76	GSE85241	CEL-Seq2	beta
GSE85241_D31.7_77	GSE85241	CEL-Seq2	acinar
GSE85241_D31.7_79	GSE85241	CEL-Seq2	PP
GSE85241_D31.7_80	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_81	GSE85241	CEL-Seq2	delta
GSE85241_D31.7_83	GSE85241	CEL-Seq2	delta
GSE85241_D31.7_84	GSE85241	CEL-Seq2	beta
GSE85241_D31.7_85	GSE85241	CEL-Seq2	beta
GSE85241_D31.7_87	GSE85241	CEL-Seq2	beta
GSE85241_D31.7_88	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_89	GSE85241	CEL-Seq2	ductal
GSE85241_D31.7_90	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_91	GSE85241	CEL-Seq2	beta
GSE85241_D31.7_92	GSE85241	CEL-Seq2	PP
GSE85241_D31.7_93	GSE85241	CEL-Seq2	alpha
GSE85241_D31.7_94	GSE85241	CEL-Seq2	beta
GSE85241_D31.8_1	GSE85241	CEL-Seq2	delta
GSE85241_D31.8_2	GSE85241	CEL-Seq2	alpha
GSE85241_D31.8_3	GSE85241	CEL-Seq2	beta
GSE85241_D31.8_4	GSE85241	CEL-Seq2	acinar
GSE85241_D31.8_5	GSE85241	CEL-Seq2	alpha
GSE85241_D31.8_6	GSE85241	CEL-Seq2	alpha
GSE85241_D31.8_7	GSE85241	CEL-Seq2	acinar
GSE85241_D31.8_8	GSE85241	CEL-Seq2	beta
GSE85241_D31.8_9	GSE85241	CEL-Seq2	alpha
GSE85241_D31.8_10	GSE85241	CEL-Seq2	PP
GSE85241_D31.8_11	GSE85241	CEL-Seq2	acinar
GSE85241_D31.8_12	GSE85241	CEL-Seq2	alpha
GSE85241_D31.8_13	GSE85241	CEL-Seq2	beta
GSE85241_D31.8_14	GSE85241	CEL-Seq2	alpha
GSE85241_D31.8_15	GSE85241	CEL-Seq2	PP
GSE85241_D31.8_16	GSE85241	CEL-Seq2	PP
GSE85241_D31.8_17	GSE85241	CEL-Seq2	delta
GSE85241_D31.8_18	GSE85241	CEL-Seq2	MC
GSE85241_D31.8_19	GSE85241	CEL-Seq2	ductal
GSE85241_D31.8_20	GSE85241	CEL-Seq2	ductal
GSE85241_D31.8_21	GSE85241	CEL-Seq2	beta
GSE85241_D31.8_23	GSE85241	CEL-Seq2	ductal
GSE85241_D31.8_24	GSE85241	CEL-Seq2	alpha
GSE85241_D31.8_25	GSE85241	CEL-Seq2	PP
GSE85241_D31.8_26	GSE85241	CEL-Seq2	PP
GSE85241_D31.8_27	GSE85241	CEL-Seq2	acinar
GSE85241_D31.8_28	GSE85241	CEL-Seq2	delta
GSE85241_D31.8_29	GSE85241	CEL-Seq2	beta
GSE85241_D31.8_30	GSE85241	CEL-Seq2	ductal
GSE85241_D31.8_31	GSE85241	CEL-Seq2	beta
GSE85241_D31.8_32	GSE85241	CEL-Seq2	alpha
GSE85241_D31.8_33	GSE85241	CEL-Seq2	alpha
GSE85241_D31.8_34	GSE85241	CEL-Seq2	delta
GSE85241_D31.8_35	GSE85241	CEL-Seq2	PP
GSE85241_D31.8_36	GSE85241	CEL-Seq2	PP
GSE85241_D31.8_37	GSE85241	CEL-Seq2	ductal
GSE85241_D31.8_38	GSE85241	CEL-Seq2	alpha
GSE85241_D31.8_39	GSE85241	CEL-Seq2	EC
GSE85241_D31.8_40	GSE85241	CEL-Seq2	acinar
GSE85241_D31.8_41	GSE85241	CEL-Seq2	beta
GSE85241_D31.8_42	GSE85241	CEL-Seq2	delta
GSE85241_D31.8_43	GSE85241	CEL-Seq2	beta
GSE85241_D31.8_44	GSE85241	CEL-Seq2	alpha
GSE85241_D31.8_45	GSE85241	CEL-Seq2	ductal
GSE85241_D31.8_46	GSE85241	CEL-Seq2	alpha
GSE85241_D31.8_47	GSE85241	CEL-Seq2	MC
GSE85241_D31.8_48	GSE85241	CEL-Seq2	beta
GSE85241_D31.8_49	GSE85241	CEL-Seq2	beta
GSE85241_D31.8_50	GSE85241	CEL-Seq2	beta
GSE85241_D31.8_52	GSE85241	CEL-Seq2	alpha
GSE85241_D31.8_53	GSE85241	CEL-Seq2	acinar
GSE85241_D31.8_55	GSE85241	CEL-Seq2	PP
GSE85241_D31.8_56	GSE85241	CEL-Seq2	MC
GSE85241_D31.8_57	GSE85241	CEL-Seq2	alpha
GSE85241_D31.8_58	GSE85241	CEL-Seq2	ductal
GSE85241_D31.8_59	GSE85241	CEL-Seq2	beta
GSE85241_D31.8_60	GSE85241	CEL-Seq2	beta
GSE85241_D31.8_61	GSE85241	CEL-Seq2	alpha
GSE85241_D31.8_62	GSE85241	CEL-Seq2	alpha
GSE85241_D31.8_63	GSE85241	CEL-Seq2	acinar
GSE85241_D31.8_64	GSE85241	CEL-Seq2	beta
GSE85241_D31.8_65	GSE85241	CEL-Seq2	alpha
GSE85241_D31.8_66	GSE85241	CEL-Seq2	delta
GSE85241_D31.8_67	GSE85241	CEL-Seq2	PP
GSE85241_D31.8_68	GSE85241	CEL-Seq2	beta
GSE85241_D31.8_69	GSE85241	CEL-Seq2	delta
GSE85241_D31.8_70	GSE85241	CEL-Seq2	PP
GSE85241_D31.8_71	GSE85241	CEL-Seq2	delta
GSE85241_D31.8_73	GSE85241	CEL-Seq2	beta
GSE85241_D31.8_74	GSE85241	CEL-Seq2	beta
GSE85241_D31.8_75	GSE85241	CEL-Seq2	ductal
GSE85241_D31.8_76	GSE85241	CEL-Seq2	delta
GSE85241_D31.8_77	GSE85241	CEL-Seq2	ductal
GSE85241_D31.8_78	GSE85241	CEL-Seq2	beta
GSE85241_D31.8_80	GSE85241	CEL-Seq2	ductal
GSE85241_D31.8_81	GSE85241	CEL-Seq2	acinar
GSE85241_D31.8_82	GSE85241	CEL-Seq2	alpha
